contractid,planid,org_type,plan_type,partd,snp,eghp,org_name,org_marketing_name,plan_name,parent_org,contract_date
H8748,26,Local CCP,HMO/HMOPOS,Yes,No,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Medicare Advantage Walmart Flex (HMO-POS),"UnitedHealth Group, Inc.",01/01/2009
R2604,1,Regional CCP,Regional PPO,Yes,No,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Medicare Advantage Choice (Regional PPO),"UnitedHealth Group, Inc.",01/01/2020
R2604,2,Regional CCP,Regional PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Medicare Silver (Regional PPO C-SNP),"UnitedHealth Group, Inc.",01/01/2020
R2604,3,Regional CCP,Regional PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Medicare Gold (Regional PPO C-SNP),"UnitedHealth Group, Inc.",01/01/2020
R2604,5,Regional CCP,Regional PPO,No,No,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Medicare Advantage Patriot (Regional PPO),"UnitedHealth Group, Inc.",01/01/2020
R3392,1,Regional CCP,Regional PPO,No,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice R3392-001 (Regional PPO),Humana Inc.,01/01/2018
R3392,2,Regional CCP,Regional PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice R3392-002 (Regional PPO),Humana Inc.,01/01/2018
S4802,70,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,71,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,77,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,82,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,83,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,94,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,145,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Value Script (PDP),Centene Corporation,01/01/2006
S4802,213,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Medicare Rx Value Plus (PDP),Centene Corporation,01/01/2006
S5596,85,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"ANTHEM INSURANCE COMPANIES, INC.",Anthem / Anthem or Blue KC in Missouri,Anthem MediBlue Rx Standard (PDP),"Elevance Health, Inc.",01/01/2006
S5596,86,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"ANTHEM INSURANCE COMPANIES, INC.",Anthem / Anthem or Blue KC in Missouri,Anthem MediBlue Rx Plus (PDP),"Elevance Health, Inc.",01/01/2006
S5601,6,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Choice (PDP),CVS Health Corporation,01/01/2006
S5601,18,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Choice (PDP),CVS Health Corporation,01/01/2006
S5601,20,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Choice (PDP),CVS Health Corporation,01/01/2006
S5601,21,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Plus (PDP),CVS Health Corporation,01/01/2006
S5601,22,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Choice (PDP),CVS Health Corporation,01/01/2006
S5601,24,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Choice (PDP),CVS Health Corporation,01/01/2006
S5601,64,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript Choice (PDP),CVS Health Corporation,01/01/2006
S5601,185,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript SmartSaver (PDP),CVS Health Corporation,01/01/2006
S5601,186,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,SILVERSCRIPT INSURANCE COMPANY,Aetna Medicare,SilverScript SmartSaver (PDP),CVS Health Corporation,01/01/2006
S5617,219,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna Secure Rx (PDP),CIGNA,01/01/2006
S5617,255,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna Extra Rx (PDP),CIGNA,01/01/2006
S5617,360,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna Saver Rx (PDP),CIGNA,01/01/2006
S5820,9,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareRx Preferred (PDP),"UnitedHealth Group, Inc.",01/01/2006
S5884,106,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Basic Rx Plan (PDP),Humana Inc.,01/01/2006
S5884,135,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Basic Rx Plan (PDP),Humana Inc.,01/01/2006
S5884,156,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Premier Rx Plan (PDP),Humana Inc.,01/01/2006
S5884,189,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Walmart Value Rx Plan (PDP),Humana Inc.,01/01/2006
S5921,355,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY,UnitedHealthcare,AARP MedicareRx Saver Plus (PDP),"UnitedHealth Group, Inc.",01/01/2006
S5921,392,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY,UnitedHealthcare,AARP MedicareRx Walgreens (PDP),"UnitedHealth Group, Inc.",01/01/2006
S6946,7,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,CLEAR SPRING HEALTH INSURANCE COMPANY,Clear Spring Health,Clear Spring Health Value Rx (PDP),Group 1001,01/01/2020
S6946,36,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,CLEAR SPRING HEALTH INSURANCE COMPANY,Clear Spring Health,Clear Spring Health Premier Rx (PDP),Group 1001,01/01/2020
S7126,9,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,OMAHA HEALTH INSURANCE COMPANY,Mutual of Omaha Rx,Mutual of Omaha Rx Plus (PDP),Mutual of Omaha Insurance Company,01/01/2019
S7126,79,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,OMAHA HEALTH INSURANCE COMPANY,Mutual of Omaha Rx,Mutual of Omaha Rx Premier (PDP),Mutual of Omaha Insurance Company,01/01/2019
S7126,112,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,OMAHA HEALTH INSURANCE COMPANY,Mutual of Omaha Rx,Mutual of Omaha Rx Essential (PDP),Mutual of Omaha Insurance Company,01/01/2019
S7694,10,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,ELIXIR INSURANCE COMPANY,Elixir Insurance,Elixir RxSecure (PDP),Rite Aid Corporation,01/01/2007
S7694,129,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,ELIXIR INSURANCE COMPANY,Elixir Insurance,Elixir RxPlus (PDP),Rite Aid Corporation,01/01/2007
